### EULER ###
      tK  |     xK[0]      xK[1]  |   xK+1[0]    xK+1[1]
0.020000  |  1.000000  -2.000000  |  0.960784  -1.921569
0.040000  |  0.960784  -1.921569  |  0.923106  -1.846213
0.060000  |  0.923106  -1.846213  |  0.886906  -1.773812
0.080000  |  0.886906  -1.773812  |  0.852126  -1.704251
0.100000  |  0.852126  -1.704251  |  0.818709  -1.637418
0.120000  |  0.818709  -1.637418  |  0.786603  -1.573205
0.140000  |  0.786603  -1.573205  |  0.755756  -1.511511
0.160000  |  0.755756  -1.511511  |  0.726118  -1.452236
0.180000  |  0.726118  -1.452236  |  0.697643  -1.395286
0.200000  |  0.697643  -1.395286  |  0.670284  -1.340569
0.220000  |  0.670284  -1.340569  |  0.643999  -1.287997
0.240000  |  0.643999  -1.287997  |  0.618744  -1.237488
0.260000  |  0.618744  -1.237488  |  0.594479  -1.188959
0.280000  |  0.594479  -1.188959  |  0.571166  -1.142333
0.300000  |  0.571166  -1.142333  |  0.548768  -1.097535
0.320000  |  0.548768  -1.097535  |  0.527247  -1.054495
0.340000  |  0.527247  -1.054495  |  0.506571  -1.013142
0.360000  |  0.506571  -1.013142  |  0.486706  -0.973411
0.380000  |  0.486706  -0.973411  |  0.467619  -0.935238
0.400000  |  0.467619  -0.935238  |  0.449281  -0.898562
0.420000  |  0.449281  -0.898562  |  0.431662  -0.863324
0.440000  |  0.431662  -0.863324  |  0.414734  -0.829468
0.460000  |  0.414734  -0.829468  |  0.398470  -0.796940
0.480000  |  0.398470  -0.796940  |  0.382844  -0.765688
0.500000  |  0.382844  -0.765688  |  0.367830  -0.735661
0.520000  |  0.367830  -0.735661  |  0.353406  -0.706811
0.540000  |  0.353406  -0.706811  |  0.339547  -0.679093
0.560000  |  0.339547  -0.679093  |  0.326231  -0.652462
0.580000  |  0.326231  -0.652462  |  0.313438  -0.626875
0.600000  |  0.313438  -0.626875  |  0.301146  -0.602292
0.620000  |  0.301146  -0.602292  |  0.289336  -0.578673
0.640000  |  0.289336  -0.578673  |  0.277990  -0.555980
0.660000  |  0.277990  -0.555980  |  0.267088  -0.534177
0.680000  |  0.267088  -0.534177  |  0.256614  -0.513228
0.700000  |  0.256614  -0.513228  |  0.246551  -0.493102
0.720000  |  0.246551  -0.493102  |  0.236882  -0.473765
0.740000  |  0.236882  -0.473765  |  0.227593  -0.455186
0.760000  |  0.227593  -0.455186  |  0.218668  -0.437335
0.780000  |  0.218668  -0.437335  |  0.210092  -0.420185
0.800000  |  0.210092  -0.420185  |  0.201853  -0.403707
0.820000  |  0.201853  -0.403707  |  0.193938  -0.387875
0.840000  |  0.193938  -0.387875  |  0.186332  -0.372664
0.860000  |  0.186332  -0.372664  |  0.179025  -0.358050
0.880000  |  0.179025  -0.358050  |  0.172004  -0.344009
0.900000  |  0.172004  -0.344009  |  0.165259  -0.330518
0.920000  |  0.165259  -0.330518  |  0.158778  -0.317557
0.940000  |  0.158778  -0.317557  |  0.152552  -0.305104
0.960000  |  0.152552  -0.305104  |  0.146569  -0.293139
0.980000  |  0.146569  -0.293139  |  0.140822  -0.281643


### RUNGE-KUTTA ###
      tK  |     xK[0]      xK[1]  |   xK+1[0]    xK+1[1]
0.020000  |  1.000000  -2.000000  |  0.960789  -1.921579
0.040000  |  0.960789  -1.921579  |  0.923116  -1.846233
0.060000  |  0.923116  -1.846233  |  0.886920  -1.773841
0.080000  |  0.886920  -1.773841  |  0.852144  -1.704288
0.100000  |  0.852144  -1.704288  |  0.818731  -1.637462
0.120000  |  0.818731  -1.637462  |  0.786628  -1.573256
0.140000  |  0.786628  -1.573256  |  0.755784  -1.511567
0.160000  |  0.755784  -1.511567  |  0.726149  -1.452298
0.180000  |  0.726149  -1.452298  |  0.697676  -1.395353
0.200000  |  0.697676  -1.395353  |  0.670320  -1.340640
0.220000  |  0.670320  -1.340640  |  0.644036  -1.288073
0.240000  |  0.644036  -1.288073  |  0.618783  -1.237567
0.260000  |  0.618783  -1.237567  |  0.594521  -1.189041
0.280000  |  0.594521  -1.189041  |  0.571209  -1.142418
0.300000  |  0.571209  -1.142418  |  0.548812  -1.097623
0.320000  |  0.548812  -1.097623  |  0.527292  -1.054585
0.340000  |  0.527292  -1.054585  |  0.506617  -1.013234
0.360000  |  0.506617  -1.013234  |  0.486752  -0.973505
0.380000  |  0.486752  -0.973505  |  0.467666  -0.935333
0.400000  |  0.467666  -0.935333  |  0.449329  -0.898658
0.420000  |  0.449329  -0.898658  |  0.431711  -0.863421
0.440000  |  0.431711  -0.863421  |  0.414783  -0.829566
0.460000  |  0.414783  -0.829566  |  0.398519  -0.797038
0.480000  |  0.398519  -0.797038  |  0.382893  -0.765786
0.500000  |  0.382893  -0.765786  |  0.367879  -0.735759
0.520000  |  0.367879  -0.735759  |  0.353455  -0.706909
0.540000  |  0.353455  -0.706909  |  0.339596  -0.679191
0.560000  |  0.339596  -0.679191  |  0.326280  -0.652560
0.580000  |  0.326280  -0.652560  |  0.313486  -0.626972
0.600000  |  0.313486  -0.626972  |  0.301194  -0.602388
0.620000  |  0.301194  -0.602388  |  0.289384  -0.578768
0.640000  |  0.289384  -0.578768  |  0.278037  -0.556075
0.660000  |  0.278037  -0.556075  |  0.267135  -0.534271
0.680000  |  0.267135  -0.534271  |  0.256661  -0.513322
0.700000  |  0.256661  -0.513322  |  0.246597  -0.493194
0.720000  |  0.246597  -0.493194  |  0.236928  -0.473856
0.740000  |  0.236928  -0.473856  |  0.227638  -0.455275
0.760000  |  0.227638  -0.455275  |  0.218712  -0.437424
0.780000  |  0.218712  -0.437424  |  0.210136  -0.420272
0.800000  |  0.210136  -0.420272  |  0.201897  -0.403793
0.820000  |  0.201897  -0.403793  |  0.193980  -0.387960
0.840000  |  0.193980  -0.387960  |  0.186374  -0.372748
0.860000  |  0.186374  -0.372748  |  0.179066  -0.358132
0.880000  |  0.179066  -0.358132  |  0.172045  -0.344090
0.900000  |  0.172045  -0.344090  |  0.165299  -0.330598
0.920000  |  0.165299  -0.330598  |  0.158817  -0.317635
0.940000  |  0.158817  -0.317635  |  0.152590  -0.305180
0.960000  |  0.152590  -0.305180  |  0.146607  -0.293214
0.980000  |  0.146607  -0.293214  |  0.140858  -0.281717


### PECE2 ###
      tK  |                    xK[0]                     xK[1]  |                  xK+1[0]                     xK+1[1]
0.020000  |                 1.000000                 -2.000000  |                 0.961536                   -1.923072
0.040000  |                 0.961536                 -1.923072  |                 0.924551                   -1.849103
0.060000  |                 0.924551                 -1.849103  |                 0.888990                   -1.777979
0.080000  |                 0.888990                 -1.777979  |                 0.854795                   -1.709591
0.100000  |                 0.854795                 -1.709591  |                 0.821917                   -1.643833
0.120000  |                 0.821917                 -1.643833  |                 0.790302                   -1.580605
0.140000  |                 0.790302                 -1.580605  |                 0.759904                   -1.519808
0.160000  |                 0.759904                 -1.519808  |                 0.730675                   -1.461350
0.180000  |                 0.730675                 -1.461350  |                 0.702571                   -1.405141
0.200000  |                 0.702571                 -1.405141  |                 0.675547                   -1.351094
0.220000  |                 0.675547                 -1.351094  |                 0.649563                   -1.299125
0.240000  |                 0.649563                 -1.299125  |                 0.624578                   -1.249156
0.260000  |                 0.624578                 -1.249156  |                 0.600554                   -1.201108
0.280000  |                 0.600554                 -1.201108  |                 0.577454                   -1.154909
0.300000  |                 0.577454                 -1.154909  |                 0.555243                   -1.110487
0.320000  |                 0.555243                 -1.110487  |                 0.533886                   -1.067771
0.340000  |                 0.533886                 -1.067771  |                 0.513351                   -1.026708
0.360000  |                 0.513351                 -1.026708  |                 0.493605                   -0.987181
0.380000  |                 0.493605                 -0.987181  |                 0.474621                   -0.949388
0.400000  |                 0.474621                 -0.949388  |                 0.456356                   -0.911979
0.420000  |                 0.456356                 -0.911979  |                 0.438847                   -0.881359
0.440000  |                 0.438847                 -0.881359  |                 0.421745                   -0.825171
0.460000  |                 0.421745                 -0.825171  |                 0.406637                   -0.904868
0.480000  |                 0.406637                 -0.904868  |                 0.385424                   -0.312879
0.500000  |                 0.385424                 -0.312879  |                 0.398459                   -3.086767
0.520000  |                 0.398459                 -3.086767  |                 0.243836                   10.961579
0.540000  |                 0.243836                 10.961579  |                 0.930938                  -59.108132
0.560000  |                 0.930938                -59.108132  |                -2.587274                  291.405826
0.580000  |                -2.587274                291.405826  |                14.924264                -1461.004923
0.600000  |                14.924264              -1461.004923  |               -72.709888                 7301.201748
0.620000  |               -72.709888               7301.201748  |               365.387354               -36509.684564
0.640000  |               365.387354             -36509.684564  |             -1825.169550               182544.888385
0.660000  |             -1825.169550             182544.888385  |              9127.546994              -912727.840415
0.680000  |              9127.546994            -912727.840415  |            -45636.101085              4563635.934308
0.700000  |            -45636.101085            4563635.934308  |            228182.076461            -22818182.813617
0.720000  |            228182.076461          -22818182.813617  |          -1140908.871695            114090911.046864
0.740000  |          -1140908.871695          114090911.046864  |           5704545.810983           -570454558.139335
0.760000  |           5704545.810983         -570454558.139335  |         -28522727.658276           2852272787.903400
0.780000  |         -28522727.658276         2852272787.903400  |         142613639.634295         -14261363942.202835
0.800000  |         142613639.634295       -14261363942.202835  |        -713068196.880214          71306819708.431656
