       xC  |      f(xC)
 0.818750   0.881250   0.881250  |    0.052737    0.084866  0.016262
 0.881250   0.943750   0.943750  |    0.016262    0.027456  0.027456
 0.881250   0.881250   0.881250  |    0.016262    0.016262  0.016262
 0.881250   0.881250   0.881250  |    0.016262    0.016262  0.015103
 0.881250   0.881250   0.873438  |    0.015103    0.026150  0.016764
 0.881250   0.881250   0.881250  |    0.015103    0.015103  0.014157
 0.881250   0.881250   0.885156  |    0.014157    0.016262  0.013463
 0.885156   0.889063   0.889063  |    0.013463    0.012951  0.012495
 0.889063   0.892969   0.889063  |    0.012495    0.013413  0.012495
 0.889063   0.889063   0.889063  |    0.012495    0.012495  0.012341
 0.889063   0.889063   0.891016  |    0.012341    0.012951  0.011966
 0.891016   0.892969   0.891016  |    0.011966    0.012066  0.011966
 0.891016   0.891016   0.891016  |    0.011966    0.011966  0.011878
 0.891016   0.891016   0.891992  |    0.011878    0.011980  0.011672
 0.891992   0.892969   0.893945  |    0.011672    0.011477  0.011257
 0.893945   0.895898   0.895898  |    0.011257    0.010914  0.010838
 0.895898   0.897852   0.898828  |    0.010838    0.010460  0.010243
 0.898828   0.901758   0.901758  |    0.010243    0.009696  0.009661
 0.901758   0.904688   0.905664  |    0.009661    0.009161  0.008900
 0.905664   0.909570   0.909570  |    0.008900    0.008180  0.008180
 0.909570   0.913477   0.913477  |    0.008180    0.007507  0.007507
 0.913477   0.917383   0.917383  |    0.007507    0.006885  0.006830
 0.917383   0.921289   0.922266  |    0.006830    0.006265  0.006043
 0.922266   0.927148   0.927148  |    0.006043    0.005313  0.005313
 0.927148   0.932031   0.932031  |    0.005313    0.004647  0.004641
 0.932031   0.936914   0.937891  |    0.004641    0.004100  0.003864
 0.937891   0.943750   0.943750  |    0.003864    0.003164  0.003164
 0.943750   0.949609   0.949609  |    0.003164    0.002554  0.002554
 0.949609   0.955469   0.955469  |    0.002554    0.002049  0.001986
 0.955469   0.961328   0.961328  |    0.001986    0.001538  0.001506
 0.961328   0.967188   0.967188  |    0.001506    0.001154  0.001078
 0.967188   0.973047   0.973047  |    0.001078    0.000746  0.000746
 0.973047   0.978906   0.978906  |    0.000746    0.000498  0.000451
 0.978906   0.984766   0.984766  |    0.000451    0.000335  0.000232
 0.984766   0.990625   0.990625  |    0.000232    0.000089  0.000089
 0.990625   0.996484   0.996484  |    0.000089    0.000016  0.000016
 0.996484   1.002344   1.002344  |    0.000016    0.000009  0.000009
 1.002344   1.008203   1.008203  |    0.000009    0.000069  0.000069
 1.002344   1.002344   1.002344  |    0.000009    0.000009  0.000009
 1.002344   1.002344   1.002344  |    0.000009    0.000009  0.000006
 1.002344   1.002344   1.002100  |    0.000006    0.000014  0.000005
 1.002100   1.001855   1.001855  |    0.000005    0.000004  0.000004
 1.001855   1.001611   1.001611  |    0.000004    0.000003  0.000003
 1.001611   1.001367   1.001367  |    0.000003    0.000002  0.000002
 1.001367   1.001123   1.001123  |    0.000002    0.000002  0.000002
 1.001123   1.000879   1.000879  |    0.000002    0.000001  0.000001
 1.000879   1.000635   1.000635  |    0.000001    0.000001  0.000001
 1.000635   1.000391   1.000391  |    0.000001    0.000000  0.000000
 1.000391   1.000146   1.000146  |    0.000000    0.000000  0.000000
 1.000146   0.999902   0.999902  |    0.000000    0.000000  0.000000
 0.999902   0.999658   0.999658  |    0.000000    0.000000  0.000000
 0.999902   0.999902   0.999902  |    0.000000    0.000000  0.000000
 0.999902   0.999902   0.999902  |    0.000000    0.000000  0.000000
 0.999902   0.999902   0.999963  |    0.000000    0.000001  0.000000
 0.999963   1.000024   1.000024  |    0.000000    0.000000  0.000000
 1.000024   1.000085   1.000085  |    0.000000    0.000000  0.000000
 1.000024   1.000024   1.000024  |    0.000000    0.000000  0.000000
 1.000024   1.000024   1.000024  |    0.000000    0.000000  0.000000
 1.000024   1.000024   1.000009  |    0.000000    0.000000  0.000000
 1.000009   0.999994   0.999994  |    0.000000    0.000000  0.000000
 0.999994   0.999979   0.999979  |    0.000000    0.000000  0.000000
 0.999994   0.999994   0.999994  |    0.000000    0.000000  0.000000
 0.999994   0.999994   0.999994  |    0.000000    0.000000  0.000000
 0.999994   0.999994   0.999998  |    0.000000    0.000000  0.000000
 0.999998   1.000002   1.000002  |    0.000000    0.000000  0.000000
 1.000002   1.000005   1.000005  |    0.000000    0.000000  0.000000
 1.000002   1.000002   1.000002  |    0.000000    0.000000  0.000000
      xC  |      f(xC)
0.600000  |  17.320000
0.850000  |  10.732500
1.100000  |   8.770000
1.850000  |   5.832500
2.975000  |   1.073125
3.881250  |   0.521758
4.685937  |   0.618254
4.199609  |   0.222467
3.863672  |   0.021838
4.153223  |   0.053897
4.057642  |   0.003421
3.886163  |   0.035404
4.062563  |   0.018843
4.016002  |   0.004231
4.071521  |   0.006287
4.008842  |   0.000975
4.028092  |   0.001029
4.009624  |   0.000100
3.974255  |   0.000896
3.996556  |   0.000129
3.988281  |   0.000153
3.995446  |   0.000023
4.007555  |   0.000098
3.999710  |   0.000015
4.003122  |   0.000011
4.000392  |   0.000001
3.998005  |   0.000009
3.998431  |   0.000003
3.999305  |   0.000000
4.000755  |   0.000001
4.000686  |   0.000000
4.000013  |   0.000000
      xB        xP        xN  |      f(xB)      f(xP)      f(xN)
0.100000  0.100000  0.600000  |  26.770000  26.770000  17.320000
0.600000  1.100000  1.600000  |  17.320000  10.370000   5.920000
1.600000  2.600000  3.100000  |   5.920000   4.520000   1.170000
3.100000  4.600000  4.100000  |   1.170000   2.920000   0.370000
4.100000  5.100000  4.600000  |   0.370000   1.570000   0.520000
4.100000  4.100000  4.100000  |   0.370000   0.370000   0.020000
4.100000  4.100000  4.100000  |   0.020000   0.170000   0.020000
4.100000  4.100000  3.975000  |   0.020000   0.020000   0.010625
3.975000  3.850000  3.975000  |   0.010625   0.032500   0.010625
3.975000  3.975000  3.975000  |   0.010625   0.010625   0.001250
3.975000  3.975000  3.975000  |   0.001250   0.023125   0.001250
3.975000  3.975000  4.006250  |   0.001250   0.001250   0.000664
4.006250  4.037500  4.006250  |   0.000664   0.002031   0.000664
4.006250  4.006250  4.006250  |   0.000664   0.000664   0.000078
4.006250  4.006250  4.006250  |   0.000078   0.001445   0.000078
4.006250  4.006250  3.998437  |   0.000078   0.000078   0.000042
3.998437  3.990625  3.998437  |   0.000042   0.000127   0.000042
3.998437  3.998437  3.998437  |   0.000042   0.000042   0.000005
3.998437  3.998437  3.998437  |   0.000005   0.000090   0.000005
3.998437  3.998437  4.000391  |   0.000005   0.000005   0.000003
4.000391  4.002344  4.000391  |   0.000003   0.000008   0.000003
4.000391  4.000391  4.000391  |   0.000003   0.000003   0.000000
4.000391  4.000391  4.000391  |   0.000000   0.000006   0.000000
4.000391  4.000391  3.999902  |   0.000000   0.000000   0.000000
3.999902  3.999414  3.999902  |   0.000000   0.000000   0.000000
3.999902  3.999902  3.999902  |   0.000000   0.000000   0.000000
3.999902  3.999902  3.999902  |   0.000000   0.000000   0.000000
3.999902  3.999902  4.000024  |   0.000000   0.000000   0.000000
4.000024  4.000146  4.000024  |   0.000000   0.000000   0.000000
4.000024  4.000024  4.000024  |   0.000000   0.000000   0.000000
4.000024  4.000024  4.000024  |   0.000000   0.000000   0.000000
4.000024  4.000024  3.999994  |   0.000000   0.000000   0.000000
3.999994  3.999963  3.999994  |   0.000000   0.000000   0.000000
3.999994  3.999994  3.999994  |   0.000000   0.000000   0.000000
3.999994  3.999994  3.999994  |   0.000000   0.000000   0.000000
3.999994  3.999994  4.000002  |   0.000000   0.000000   0.000000
4.000002  4.000009  4.000002  |   0.000000   0.000000   0.000000
4.000002  4.000002  4.000002  |   0.000000   0.000000   0.000000
4.000002  4.000002  4.000002  |   0.000000   0.000000   0.000000
4.000002  4.000002  4.000000  |   0.000000   0.000000   0.000000
4.000000  3.999998  4.000000  |   0.000000   0.000000   0.000000
       xC  |      f(xC)
 0.200000  |  39.200000
 0.120000  |  37.024000
-0.032000  |  36.304640
-0.044800  |  35.288934
-0.062720  |  33.850087
-0.087808  |  31.802658
 0.011507  |  28.301687
 0.180910  |  25.809119
 0.332976  |  21.642205
 0.593690  |  16.821927
 0.736254  |  13.159199
 0.781403  |   8.338962
 0.990046  |   5.540680
 1.304603  |   3.548007
 1.366348  |   3.403083
 1.398639  |   3.656074
 1.500357  |   2.900555
 1.886902  |   1.647864
 2.171994  |   1.172190
 2.448567  |   0.703095
 2.846009  |   0.369981
 3.173727  |   0.303116
 2.886878  |   0.261051
 3.167226  |   0.448215
 3.053181  |   0.319463
 3.097761  |   0.461110
 3.100805  |   0.286975
 3.136729  |   0.216962
 3.068492  |   0.145969
 2.933960  |   0.082316
 2.933592  |   0.096696
 2.836674  |   0.082610
 2.846824  |   0.056265
 2.883283  |   0.041606
 2.908450  |   0.081507
 2.979391  |   0.055531
 2.889764  |   0.047210
 2.965518  |   0.052618
 2.918349  |   0.050736
 2.953324  |   0.043848
 3.005417  |   0.039684
 3.025781  |   0.037199
 2.982808  |   0.034905
 2.965386  |   0.034610
 2.991946  |   0.040129
 2.957159  |   0.034462
 2.929845  |   0.038061
 2.926830  |   0.033851
 2.929013  |   0.031745
 2.930724  |   0.029551
 2.931117  |   0.026499
 2.950279  |   0.022567
 2.940773  |   0.020296
 2.942400  |   0.018526
 2.947439  |   0.017368
 2.952627  |   0.016595
 2.945114  |   0.016967
 2.953455  |   0.015199
 2.969174  |   0.011662
 2.992739  |   0.010733
 3.016532  |   0.010428
 3.012802  |   0.010127
 3.021046  |   0.009297
 3.018128  |   0.008015
 3.004719  |   0.006896
 3.004511  |   0.005611
 3.005300  |   0.003966
 3.011999  |   0.001786
 3.012466  |   0.001444
 3.005856  |   0.000980
 3.019068  |   0.000561
 3.002412  |   0.000406
 3.006024  |   0.000315
 3.009119  |   0.000716
 3.005244  |   0.000529
 3.010467  |   0.000406
 3.019810  |   0.000533
 3.013107  |   0.000374
 3.004363  |   0.000336
 3.010218  |   0.000328
 3.007728  |   0.000278
 3.006053  |   0.000234
 3.001953  |   0.000191
 2.999312  |   0.000154
 2.998741  |   0.000126
 2.997539  |   0.000130
 2.997350  |   0.000083
 2.995719  |   0.000062
 2.994504  |   0.000136
 2.995531  |   0.000101
 2.997547  |   0.000071
 3.000684  |   0.000047
 3.001673  |   0.000043
 3.002412  |   0.000036
 3.001507  |   0.000033
 3.003621  |   0.000039
 3.002407  |   0.000032
 3.002420  |   0.000025
 3.002005  |   0.000017
 3.002517  |   0.000025
 3.001615  |   0.000016
 3.000323  |   0.000015
 3.000869  |   0.000010
 3.000831  |   0.000005
 3.000465  |   0.000006
 3.001113  |   0.000006
 3.000546  |   0.000004
 3.000090  |   0.000004
 3.000085  |   0.000002
 3.000539  |   0.000002
 3.000660  |   0.000002
 3.000172  |   0.000001
 3.000564  |   0.000001
 3.000406  |   0.000001
 3.000214  |   0.000001
 3.000409  |   0.000001
 3.000444  |   0.000001
 3.000391  |   0.000001
 3.000311  |   0.000001
 3.000251  |   0.000000
 3.000248  |   0.000001
      xB        xP        xN  |      f(xB)      f(xP)      f(xN)
0.000000  0.000000  0.500000  |  45.000000  45.000000  31.250000
0.500000  1.000000  1.500000  |  31.250000  20.000000  11.250000
1.500000  2.500000  3.000000  |  11.250000   1.250000   0.000000
3.000000  4.500000  4.000000  |   0.000000  11.250000   5.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
3.000000  3.000000  3.000000  |   0.000000   0.000000   0.000000
       xC  |      f(xC)
 5.100000  |  28.795091
 4.100000  |  16.013227
 3.100000  |   4.384062
 3.100000  |   4.384062
 3.100000  |   4.384062
 2.975000  |   4.531294
 2.850000  |   4.639986
 2.725000  |   5.881471
 2.693750  |   4.097563
 2.662500  |   4.730968
 2.709375  |   4.158305
 2.627344  |   4.073813
 2.469141  |   3.742049
 2.469141  |   3.742049
 2.407373  |   3.574735
 2.233667  |   3.288088
 2.059961  |   3.005539
 1.562036  |   2.482220
 0.764978  |   1.489016
-0.032080  |   0.286941
-0.032080  |   0.286941
-0.380438  |   0.527506
-0.169341  |   0.222654
-0.023323  |   0.333946
-0.108224  |   0.245125
-0.193124  |   0.250115
-0.146710  |   0.217025
-0.130854  |   0.213036
-0.168764  |   0.216895
-0.143431  |   0.193917
-0.118007  |   0.162081
-0.088287  |   0.116500
-0.022580  |   0.034407
 0.043128  |   0.049158
 0.013407  |   0.020423
-0.003422  |   0.014310
-0.001363  |   0.004573
 0.018219  |   0.018631
 0.002503  |   0.006725
 0.004499  |   0.004523
-0.003317  |   0.006647
 0.000092  |   0.001366
-0.002257  |   0.003251
 0.001209  |   0.002129
-0.000216  |   0.000404
 0.000448  |   0.001105
-0.000763  |   0.001036
-0.000187  |   0.000317
 0.000255  |   0.000283
-0.000096  |   0.000200
-0.000054  |   0.000127
 0.000090  |   0.000101
-0.000039  |   0.000061
-0.000014  |   0.000059
-0.000046  |   0.000046
 0.000004  |   0.000006
 0.000004  |   0.000006
-0.000010  |   0.000015
-0.000010  |   0.000016
-0.000003  |   0.000004
 0.000000  |   0.000006
 0.000003  |   0.000003
-0.000001  |   0.000001
 0.000001  |   0.000002
 0.000001  |   0.000002
      xB        xP        xN  |      f(xB)      f(xP)      f(xN)
5.100000  5.100000  4.600000  |  30.017279  30.017279  23.470318
4.600000  4.100000  3.600000  |  23.470318  17.006517  10.640721
3.600000  2.600000  3.100000  |  10.640721  10.640721   4.384062
3.100000  2.600000  3.100000  |   4.384062  10.640721   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
3.100000  3.100000  3.100000  |   4.384062   4.384062   4.384062
