       xC  |      f(xC)
-1.400000  |  34.920000
-1.775000  |  35.328789
-1.493750  |   6.468399
-1.165625  |   8.231606
-0.837500  |   4.610588
-1.118750  |   5.398294
-1.071875  |   5.654765
-1.138281  |   4.605884
-1.138281  |   4.605884
-1.055762  |   4.226275
-0.950293  |   3.973719
-0.941138  |   3.801090
-0.812781  |   3.392593
-0.835715  |   3.372153
-0.780722  |   3.185102
-0.636336  |   2.747081
-0.617440  |   2.636163
-0.495987  |   2.553322
-0.542541  |   2.439510
-0.523645  |   2.346635
-0.416022  |   2.338025
-0.424032  |   2.189271
-0.405512  |   2.015163
-0.386992  |   1.923759
-0.246333  |   1.658004
-0.262978  |   1.598331
-0.191398  |   1.424316
-0.159770  |   1.346678
-0.128141  |   1.273627
-0.079868  |   1.297787
-0.080283  |   1.210310
-0.065091  |   1.134462
-0.037261  |   1.084830
 0.009975  |   0.995980
 0.090530  |   0.880295
 0.089796  |   0.847544
 0.168516  |   0.710241
 0.247236  |   0.634569
 0.272497  |   0.570209
 0.219038  |   0.612008
 0.264713  |   0.541305
 0.345856  |   0.468787
 0.350831  |   0.437559
 0.444413  |   0.385857
 0.425993  |   0.353828
 0.473524  |   0.284660
 0.521055  |   0.233252
 0.587993  |   0.169753
 0.654931  |   0.120034
 0.704436  |   0.194553
 0.758998  |   0.063536
 0.758998  |   0.063536
 0.824672  |   0.032490
 0.788214  |   0.049783
 0.789962  |   0.045341
 0.806880  |   0.037375
 0.850923  |   0.028030
 0.856830  |   0.022669
 0.915641  |   0.017095
 0.906845  |   0.011857
 0.943667  |   0.004827
 0.925666  |   0.005548
 0.939304  |   0.003830
 0.973944  |   0.000699
 1.008584  |   0.000513
 0.994947  |   0.000245
 1.006403  |   0.000055
 1.002448  |   0.000098
 0.996140  |   0.000017
 1.002848  |   0.000009
 0.999002  |   0.000001
 1.001394  |   0.000002
 1.000585  |   0.000007
 0.999996  |   0.000000
 0.999885  |   0.000001
       xB         xP         xN  |       f(xB)       f(xP)     f(xN)
-1.900000  -1.900000  -1.400000  |  267.620000  267.620000  5.920000
-1.400000  -0.900000  -1.400000  |    5.920000  145.220000  5.920000
-1.400000  -1.400000  -1.400000  |    5.920000    5.920000  5.920000
-1.400000  -1.400000  -1.400000  |    5.920000    5.920000  5.920000
-1.400000  -1.400000  -1.400000  |    5.920000    5.920000  5.810625
-1.400000  -1.400000  -1.337500  |    5.810625    6.482500  5.519573
-1.337500  -1.275000  -1.275000  |    5.519573    5.558477  5.175664
-1.275000  -1.212500  -1.212500  |    5.175664    5.001799  4.984221
-1.212500  -1.150000  -1.150000  |    4.984221    4.898125  4.632500
-1.150000  -1.087500  -1.025000  |    4.632500    4.690081  4.114727
-1.025000  -0.900000  -0.900000  |    4.114727    3.610625  3.610625
-0.900000  -0.775000  -0.712500  |    3.610625    3.295977  2.938518
-0.712500  -0.525000  -0.462500  |    2.938518    3.102227  2.208635
-0.462500  -0.212500  -0.150000  |    2.208635    4.365471  2.045000
-0.150000   0.162500   0.100000  |    2.045000   12.187151  7.570000
-0.150000  -0.150000  -0.118750  |    2.045000    2.045000  1.457278
-0.118750  -0.087500  -0.056250  |    1.457278    1.188518  1.116665
-0.056250   0.006250   0.037500  |    1.116665    1.084951  0.926604
 0.037500   0.131250   0.162500  |    0.926604    0.784402  0.703752
 0.162500   0.287500   0.287500  |    0.703752    0.548284  0.519963
 0.287500   0.412500   0.412500  |    0.519963    0.364495  0.364495
 0.412500   0.537500   0.506250  |    0.364495    0.706096  0.247744
 0.506250   0.600000   0.600000  |    0.247744    0.186406  0.182500
 0.600000   0.693750   0.693750  |    0.182500    0.128799  0.109512
 0.693750   0.787500   0.756250  |    0.109512    0.377581  0.068277
 0.756250   0.818750   0.818750  |    0.068277    0.052737  0.052737
