### GOLDEN RATIO ###
           a            c           d           b  |            f(a)           f(c)          f(d)           f(b)
 954.500000   948.000000  947.500000  |  905352.250000  893025.000000  892080.250000
 947.500000   940.500000  940.000000  |  892080.250000  878906.250000  877969.000000
 940.000000   932.500000  932.000000  |  877969.000000  863970.250000  863041.000000
 932.000000   924.000000  923.500000  |  863041.000000  848241.000000  847320.250000
 923.500000   915.000000  914.500000  |  847320.250000  831744.000000  830832.250000
 914.500000   905.500000  905.000000  |  830832.250000  814506.250000  813604.000000
 905.000000   895.500000  895.000000  |  813604.000000  796556.250000  795664.000000
 895.000000   885.000000  884.500000  |  795664.000000  777924.000000  777042.250000
 884.500000   874.000000  873.500000  |  777042.250000  758641.000000  757770.250000
 873.500000   862.500000  862.000000  |  757770.250000  738740.250000  737881.000000
 862.000000   850.500000  850.000000  |  737881.000000  718256.250000  717409.000000
 850.000000   838.000000  837.500000  |  717409.000000  697225.000000  696390.250000
 837.500000   825.000000  824.500000  |  696390.250000  675684.000000  674862.250000
 824.500000   811.500000  811.000000  |  674862.250000  653672.250000  652864.000000
 811.000000   797.500000  797.000000  |  652864.000000  631230.250000  630436.000000
 797.000000   783.000000  782.500000  |  630436.000000  608400.000000  607620.250000
 782.500000   768.000000  767.500000  |  607620.250000  585225.000000  584460.250000
 767.500000   752.500000  752.000000  |  584460.250000  561750.250000  561001.000000
 752.000000   736.500000  736.000000  |  561001.000000  538022.250000  537289.000000
 736.000000   720.000000  719.500000  |  537289.000000  514089.000000  513372.250000
 719.500000   703.000000  702.500000  |  513372.250000  490000.000000  489300.250000
 702.500000   685.500000  685.000000  |  489300.250000  465806.250000  465124.000000
 685.000000   667.500000  667.000000  |  465124.000000  441560.250000  440896.000000
 667.000000   649.000000  648.500000  |  440896.000000  417316.000000  416670.250000
 648.500000   630.000000  629.500000  |  416670.250000  393129.000000  392502.250000
 629.500000   610.500000  610.000000  |  392502.250000  369056.250000  368449.000000
 610.000000   590.500000  590.000000  |  368449.000000  345156.250000  344569.000000
 590.000000   570.000000  569.500000  |  344569.000000  321489.000000  320922.250000
 569.500000   549.000000  548.500000  |  320922.250000  298116.000000  297570.250000
 548.500000   527.500000  527.000000  |  297570.250000  275100.250000  274576.000000
 527.000000   505.500000  505.000000  |  274576.000000  252506.250000  252004.000000
 505.000000   483.000000  482.500000  |  252004.000000  230400.000000  229920.250000
 482.500000   460.000000  459.500000  |  229920.250000  208849.000000  208392.250000
 459.500000   436.500000  436.000000  |  208392.250000  187922.250000  187489.000000
 436.000000   412.500000  412.000000  |  187489.000000  167690.250000  167281.000000
 412.000000   388.000000  387.500000  |  167281.000000  148225.000000  147840.250000
 387.500000   363.000000  362.500000  |  147840.250000  129600.000000  129240.250000
 362.500000   337.500000  337.000000  |  129240.250000  111890.250000  111556.000000
 337.000000   311.500000  311.000000  |  111556.000000   95172.250000   94864.000000
 311.000000   285.000000  284.500000  |   94864.000000   79524.000000   79242.250000
 284.500000   258.000000  257.500000  |   79242.250000   65025.000000   64770.250000
 257.500000   230.500000  230.000000  |   64770.250000   51756.250000   51529.000000
 230.000000   202.500000  202.000000  |   51529.000000   39800.250000   39601.000000
 202.000000   174.000000  173.500000  |   39601.000000   29241.000000   29070.250000
 173.500000   145.000000  144.500000  |   29070.250000   20164.000000   20022.250000
 144.500000   115.500000  115.000000  |   20022.250000   12656.250000   12544.000000
 115.000000    85.500000   85.000000  |   12544.000000    6806.250000    6724.000000
  85.000000    55.000000   54.500000  |    6724.000000    2704.000000    2652.250000
  54.500000    24.000000   23.500000  |    2652.250000     441.000000     420.250000
  23.500000    -7.500000   -7.000000  |     420.250000     110.250000     100.000000
  -7.000000   -37.500000  -37.000000  |     100.000000    1640.250000    1600.000000
  -7.000000    -7.000000   -6.750000  |     100.000000     100.000000      95.062500
  -6.750000    -6.500000   -6.250000  |      95.062500      90.250000      85.562500
  -6.250000    -5.750000   -5.500000  |      85.562500      76.562500      72.250000
  -5.500000    -4.750000   -4.500000  |      72.250000      60.062500      56.250000
  -4.500000    -3.500000   -3.250000  |      56.250000      42.250000      39.062500
  -3.250000    -2.000000   -1.750000  |      39.062500      25.000000      22.562500
  -1.750000    -0.250000    0.000000  |      22.562500      10.562500       9.000000
   0.000000     1.750000    2.000000  |       9.000000       1.562500       1.000000
   2.000000     4.000000    3.750000  |       1.000000       1.000000       0.562500
   3.750000     5.500000    5.250000  |       0.562500       6.250000       5.062500
   3.750000     3.750000    3.625000  |       0.562500       0.562500       0.390625
   3.625000     3.500000    3.375000  |       0.390625       0.250000       0.140625
   3.375000     3.125000    3.000000  |       0.140625       0.015625       0.000000
   3.000000     2.625000    2.750000  |       0.000000       0.140625       0.062500
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
   3.000000     3.000000    3.000000  |       0.000000       0.000000       0.000000
