        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
 1.420494   1.420494   1.420494  |  0.429723  0.429723  0.429723
 1.420494   1.420494   1.420494  |  0.429723  0.429723  0.429723
 1.420494   1.420494   1.420494  |  0.429723  0.429723  0.429723
 1.420494   1.420494   1.420509  |  0.429723  0.429723  0.429723
 1.420509   1.420524   1.420509  |  0.429723  0.429723  0.429723
 1.420509   1.420509   1.420501  |  0.429723  0.429723  0.429723
 1.420501   1.420494   1.420501  |  0.429723  0.429723  0.429723
 1.420501   1.420501   1.420505  |  0.429723  0.429723  0.429723
 1.420505   1.420509   1.420505  |  0.429723  0.429723  0.429723
 1.420505   1.420505   1.420503  |  0.429723  0.429723  0.429723
 1.420503   1.420501   1.420503  |  0.429723  0.429723  0.429723
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-27.938384  -27.938384  -27.438384  |  0.492149  0.492149  0.396850
-27.438384  -26.938384  -27.438384  |  0.396850  0.472401  0.396850
-27.438384  -27.438384  -27.438384  |  0.396850  0.396850  0.396850
-27.438384  -27.438384  -27.313384  |  0.396850  0.396850  0.396393
-27.313384  -27.188384  -27.188384  |  0.396393  0.396152  0.396152
-27.188384  -27.063384  -27.063384  |  0.396152  0.396102  0.396102
-27.063384  -26.938384  -26.938384  |  0.396102  0.396223  0.396223
-27.063384  -27.063384  -27.063384  |  0.396102  0.396102  0.396102
-27.063384  -27.063384  -27.063384  |  0.396102  0.396102  0.396102
-27.063384  -27.063384  -27.063384  |  0.396102  0.396102  0.396102
-27.063384  -27.063384  -27.071197  |  0.396102  0.396102  0.396098
-27.071197  -27.079009  -27.071197  |  0.396098  0.396110  0.396098
-27.071197  -27.071197  -27.071197  |  0.396098  0.396098  0.396098
-27.071197  -27.071197  -27.075103  |  0.396098  0.396100  0.396098
-27.075103  -27.079009  -27.079009  |  0.396098  0.396098  0.396098
-27.075103  -27.075103  -27.075103  |  0.396098  0.396098  0.396098
-27.075103  -27.075103  -27.075103  |  0.396098  0.396098  0.396098
-27.075103  -27.075103  -27.074127  |  0.396098  0.396098  0.396098
-27.074127  -27.073150  -27.073150  |  0.396098  0.396098  0.396098
-27.073150  -27.072173  -27.072173  |  0.396098  0.396098  0.396098
-27.073150  -27.073150  -27.073150  |  0.396098  0.396098  0.396098
-27.073150  -27.073150  -27.073150  |  0.396098  0.396098  0.396098
-27.073150  -27.073150  -27.073150  |  0.396098  0.396098  0.396098
-27.073150  -27.073150  -27.073150  |  0.396098  0.396098  0.396098
-27.073150  -27.073150  -27.073181  |  0.396098  0.396098  0.396098
-27.073181  -27.073211  -27.073181  |  0.396098  0.396098  0.396098
-27.073181  -27.073181  -27.073165  |  0.396098  0.396098  0.396098
-27.073165  -27.073150  -27.073150  |  0.396098  0.396098  0.396098
-27.073150  -27.073135  -27.073135  |  0.396098  0.396098  0.396098
-27.073135  -27.073120  -27.073120  |  0.396098  0.396098  0.396098
-27.073135  -27.073135  -27.073135  |  0.396098  0.396098  0.396098
-27.073135  -27.073135  -27.073135  |  0.396098  0.396098  0.396098
-27.073135  -27.073135  -27.073135  |  0.396098  0.396098  0.396098
-27.073135  -27.073135  -27.073133  |  0.396098  0.396098  0.396098
-27.073133  -27.073131  -27.073131  |  0.396098  0.396098  0.396098
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-49.234333  -49.234333  -49.734333  |  0.473184  0.473184  0.459782
-49.734333  -50.234333  -49.734333  |  0.459782  0.473504  0.459782
-49.734333  -49.734333  -49.734333  |  0.459782  0.459782  0.459782
-49.734333  -49.734333  -49.734333  |  0.459782  0.459782  0.459782
-49.734333  -49.734333  -49.734333  |  0.459782  0.459782  0.459782
-49.734333  -49.734333  -49.734333  |  0.459782  0.459782  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459784  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459782  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
-49.734333  -49.734333  -49.734333  |  0.459781  0.459781  0.459781
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-13.911627  -13.911627  -13.411627  |  0.593168  0.593168  0.508847
-13.411627  -12.911627  -12.411627  |  0.508847  0.403841  0.396129
-12.411627  -11.411627  -11.911627  |  0.396129  0.507763  0.401694
-12.411627  -12.411627  -12.411627  |  0.396129  0.396129  0.396129
-12.411627  -12.411627  -12.411627  |  0.396129  0.396129  0.396129
-12.411627  -12.411627  -12.349127  |  0.396129  0.396129  0.396119
-12.349127  -12.286627  -12.349127  |  0.396119  0.396317  0.396119
-12.349127  -12.349127  -12.380377  |  0.396119  0.396119  0.396098
-12.380377  -12.411627  -12.380377  |  0.396098  0.396129  0.396098
-12.380377  -12.380377  -12.380377  |  0.396098  0.396098  0.396098
-12.380377  -12.380377  -12.380377  |  0.396098  0.396098  0.396098
-12.380377  -12.380377  -12.376470  |  0.396098  0.396098  0.396098
-12.376470  -12.372564  -12.376470  |  0.396098  0.396099  0.396098
-12.376470  -12.376470  -12.378424  |  0.396098  0.396098  0.396098
-12.378424  -12.380377  -12.378424  |  0.396098  0.396098  0.396098
-12.378424  -12.378424  -12.377447  |  0.396098  0.396098  0.396098
-12.377447  -12.376470  -12.377447  |  0.396098  0.396098  0.396098
-12.377447  -12.377447  -12.377447  |  0.396098  0.396098  0.396098
-12.377447  -12.377447  -12.377447  |  0.396098  0.396098  0.396098
-12.377447  -12.377447  -12.377569  |  0.396098  0.396098  0.396098
-12.377569  -12.377691  -12.377569  |  0.396098  0.396098  0.396098
-12.377569  -12.377569  -12.377508  |  0.396098  0.396098  0.396098
-12.377508  -12.377447  -12.377508  |  0.396098  0.396098  0.396098
-12.377508  -12.377508  -12.377539  |  0.396098  0.396098  0.396098
-12.377539  -12.377569  -12.377539  |  0.396098  0.396098  0.396098
-12.377539  -12.377539  -12.377539  |  0.396098  0.396098  0.396098
-12.377539  -12.377539  -12.377531  |  0.396098  0.396098  0.396098
-12.377531  -12.377523  -12.377531  |  0.396098  0.396098  0.396098
-12.377531  -12.377531  -12.377535  |  0.396098  0.396098  0.396098
-12.377535  -12.377539  -12.377535  |  0.396098  0.396098  0.396098
-12.377535  -12.377535  -12.377533  |  0.396098  0.396098  0.396098
-12.377533  -12.377531  -12.377533  |  0.396098  0.396098  0.396098
      xB        xP        xN  |     f(xB)     f(xP)     f(xN)
4.795652  4.795652  4.295652  |  0.444361  0.444361  0.442943
4.295652  3.795652  3.295652  |  0.442943  0.442183  0.441917
3.295652  2.295652  2.795652  |  0.441917  0.442263  0.441988
3.295652  3.295652  3.295652  |  0.441917  0.441917  0.441917
3.295652  3.295652  3.170652  |  0.441917  0.441917  0.441908
