        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-34.577532  -34.577532  -34.577563  |  0.451776  0.451776  0.451776
-34.577563  -34.577593  -34.577593  |  0.451776  0.451776  0.451776
-34.577593  -34.577624  -34.577624  |  0.451776  0.451776  0.451776
-34.577624  -34.577654  -34.577654  |  0.451776  0.451776  0.451776
-34.577654  -34.577685  -34.577685  |  0.451776  0.451776  0.451776
-34.577685  -34.577715  -34.577715  |  0.451776  0.451776  0.451776
-34.577715  -34.577746  -34.577746  |  0.451776  0.451776  0.451776
-34.577746  -34.577776  -34.577776  |  0.451776  0.451776  0.451776
-34.577746  -34.577746  -34.577746  |  0.451776  0.451776  0.451776
-34.577746  -34.577746  -34.577746  |  0.451776  0.451776  0.451776
-34.577746  -34.577746  -34.577746  |  0.451776  0.451776  0.451776
-34.577746  -34.577746  -34.577746  |  0.451776  0.451776  0.451776
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-34.099938  -34.099938  -33.599938  |  0.540699  0.540699  0.488017
-33.599938  -33.099938  -33.099938  |  0.488017  0.451913  0.451913
-33.099938  -32.599938  -33.099938  |  0.451913  0.497382  0.451913
-33.099938  -33.099938  -33.099938  |  0.451913  0.451913  0.451913
-33.099938  -33.099938  -33.099938  |  0.451913  0.451913  0.451913
-33.099938  -33.099938  -33.162438  |  0.451913  0.451913  0.451780
-33.162438  -33.224938  -33.162438  |  0.451780  0.452019  0.451780
-33.162438  -33.162438  -33.162438  |  0.451780  0.451780  0.451780
-33.162438  -33.162438  -33.146813  |  0.451780  0.451780  0.451778
-33.146813  -33.131188  -33.146813  |  0.451778  0.451800  0.451778
-33.146813  -33.146813  -33.154625  |  0.451778  0.451778  0.451776
-33.154625  -33.162438  -33.154625  |  0.451776  0.451780  0.451776
-33.154625  -33.154625  -33.154625  |  0.451776  0.451776  0.451776
-33.154625  -33.154625  -33.152672  |  0.451776  0.451776  0.451776
-33.152672  -33.150719  -33.152672  |  0.451776  0.451776  0.451776
-33.152672  -33.152672  -33.153649  |  0.451776  0.451776  0.451776
-33.153649  -33.154625  -33.153649  |  0.451776  0.451776  0.451776
-33.153649  -33.153649  -33.153649  |  0.451776  0.451776  0.451776
-33.153649  -33.153649  -33.153405  |  0.451776  0.451776  0.451776
-33.153405  -33.153161  -33.153405  |  0.451776  0.451776  0.451776
-33.153405  -33.153405  -33.153527  |  0.451776  0.451776  0.451776
-33.153527  -33.153649  -33.153527  |  0.451776  0.451776  0.451776
-33.153527  -33.153527  -33.153527  |  0.451776  0.451776  0.451776
-33.153527  -33.153527  -33.153527  |  0.451776  0.451776  0.451776
-33.153527  -33.153527  -33.153511  |  0.451776  0.451776  0.451776
-33.153511  -33.153496  -33.153511  |  0.451776  0.451776  0.451776
-33.153511  -33.153511  -33.153511  |  0.451776  0.451776  0.451776
-33.153511  -33.153511  -33.153511  |  0.451776  0.451776  0.451776
-33.153511  -33.153511  -33.153513  |  0.451776  0.451776  0.451776
-33.153513  -33.153515  -33.153513  |  0.451776  0.451776  0.451776
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-12.766077  -12.766077  -13.266077  |  0.447839  0.447839  0.375692
-13.266077  -13.766077  -13.266077  |  0.375692  0.490694  0.375692
-13.266077  -13.266077  -13.016077  |  0.375692  0.375692  0.373302
-13.016077  -12.766077  -13.016077  |  0.373302  0.376342  0.373302
-13.016077  -13.016077  -13.016077  |  0.373302  0.373302  0.373302
-13.016077  -13.016077  -13.016077  |  0.373302  0.373302  0.373302
-13.016077  -13.016077  -13.047327  |  0.373302  0.373302  0.373300
-13.047327  -13.078577  -13.047327  |  0.373300  0.373384  0.373300
-13.047327  -13.047327  -13.031702  |  0.373300  0.373300  0.373291
-13.031702  -13.016077  -13.031702  |  0.373291  0.373302  0.373291
-13.031702  -13.031702  -13.031702  |  0.373291  0.373291  0.373291
-13.031702  -13.031702  -13.031702  |  0.373291  0.373291  0.373291
-13.031702  -13.031702  -13.031702  |  0.373291  0.373291  0.373291
-13.031702  -13.031702  -13.032678  |  0.373291  0.373291  0.373291
-13.032678  -13.033655  -13.032678  |  0.373291  0.373291  0.373291
-13.032678  -13.032678  -13.032678  |  0.373291  0.373291  0.373291
-13.032678  -13.032678  -13.032434  |  0.373291  0.373291  0.373291
-13.032434  -13.032190  -13.032434  |  0.373291  0.373291  0.373291
-13.032434  -13.032434  -13.032556  |  0.373291  0.373291  0.373291
-13.032556  -13.032678  -13.032556  |  0.373291  0.373291  0.373291
-13.032556  -13.032556  -13.032495  |  0.373291  0.373291  0.373291
-13.032495  -13.032434  -13.032495  |  0.373291  0.373291  0.373291
-13.032495  -13.032495  -13.032526  |  0.373291  0.373291  0.373291
-13.032526  -13.032556  -13.032526  |  0.373291  0.373291  0.373291
-13.032526  -13.032526  -13.032526  |  0.373291  0.373291  0.373291
-13.032526  -13.032526  -13.032526  |  0.373291  0.373291  0.373291
-13.032526  -13.032526  -13.032522  |  0.373291  0.373291  0.373291
-13.032522  -13.032518  -13.032522  |  0.373291  0.373291  0.373291
-13.032522  -13.032522  -13.032522  |  0.373291  0.373291  0.373291
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-18.262237  -18.262237  -18.262237  |  0.273240  0.273240  0.273240
-18.262237  -18.262237  -18.262237  |  0.273240  0.273240  0.273240
-18.262237  -18.262237  -18.262237  |  0.273240  0.273240  0.273240
-18.262237  -18.262237  -18.324737  |  0.273240  0.273240  0.272851
-18.324737  -18.387237  -18.387237  |  0.272851  0.272744  0.272744
-18.387237  -18.449737  -18.449737  |  0.272744  0.272933  0.272823
-18.387237  -18.387237  -18.387237  |  0.272744  0.272744  0.272744
-18.387237  -18.387237  -18.387237  |  0.272744  0.272744  0.272744
-18.387237  -18.387237  -18.387237  |  0.272744  0.272744  0.272743
-18.387237  -18.387237  -18.395049  |  0.272743  0.272759  0.272741
-18.395049  -18.402862  -18.402862  |  0.272741  0.272744  0.272742
-18.395049  -18.395049  -18.395049  |  0.272741  0.272741  0.272741
-18.395049  -18.395049  -18.395049  |  0.272741  0.272741  0.272741
-18.395049  -18.395049  -18.395049  |  0.272741  0.272741  0.272741
-18.395049  -18.395049  -18.396026  |  0.272741  0.272741  0.272741
-18.396026  -18.397003  -18.397003  |  0.272741  0.272741  0.272741
-18.396026  -18.396026  -18.396026  |  0.272741  0.272741  0.272741
-18.396026  -18.396026  -18.396026  |  0.272741  0.272741  0.272741
-18.396026  -18.396026  -18.395904  |  0.272741  0.272741  0.272741
-18.395904  -18.395782  -18.395782  |  0.272741  0.272741  0.272741
-18.395782  -18.395660  -18.395660  |  0.272741  0.272741  0.272741
-18.395782  -18.395782  -18.395782  |  0.272741  0.272741  0.272741
-18.395782  -18.395782  -18.395782  |  0.272741  0.272741  0.272741
-18.395782  -18.395782  -18.395751  |  0.272741  0.272741  0.272741
-18.395751  -18.395721  -18.395721  |  0.272741  0.272741  0.272741
-18.395751  -18.395751  -18.395751  |  0.272741  0.272741  0.272741
-18.395751  -18.395751  -18.395751  |  0.272741  0.272741  0.272741
-18.395751  -18.395751  -18.395755  |  0.272741  0.272741  0.272741
-18.395755  -18.395759  -18.395759  |  0.272741  0.272741  0.272741
-18.395759  -18.395763  -18.395759  |  0.272741  0.272741  0.272741
-18.395759  -18.395759  -18.395759  |  0.272741  0.272741  0.272741
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-40.379665  -40.379665  -40.379665  |  0.432490  0.432490  0.430539
-40.379665  -40.379665  -40.379665  |  0.430539  0.429728  0.429728
-40.379665  -40.379665  -40.379665  |  0.429728  0.430414  0.429728
-40.379665  -40.379665  -40.379665  |  0.429728  0.429728  0.429728
-40.379665  -40.379665  -40.379665  |  0.429728  0.429728  0.429728
-40.379665  -40.379665  -40.379665  |  0.429728  0.429728  0.429724
-40.379665  -40.379665  -40.379665  |  0.429724  0.429745  0.429724
-40.379665  -40.379665  -40.379665  |  0.429724  0.429724  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429728  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429724  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
-40.379665  -40.379665  -40.379665  |  0.429723  0.429723  0.429723
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-27.156120  -27.156120  -27.156120  |  0.375460  0.375460  0.375460
-27.156120  -27.156120  -27.156120  |  0.375460  0.375460  0.373562
-27.156120  -27.156120  -26.906120  |  0.373562  0.379635  0.374073
-27.156120  -27.156120  -27.156120  |  0.373562  0.373562  0.373520
-27.156120  -27.156120  -27.281120  |  0.373520  0.375460  0.373356
-27.281120  -27.406120  -27.281120  |  0.373356  0.374296  0.373356
-27.281120  -27.281120  -27.281120  |  0.373356  0.373356  0.373347
-27.281120  -27.281120  -27.343620  |  0.373347  0.373822  0.373310
-27.343620  -27.406120  -27.343620  |  0.373310  0.373557  0.373310
-27.343620  -27.343620  -27.343620  |  0.373310  0.373310  0.373302
-27.343620  -27.343620  -27.374870  |  0.373302  0.373414  0.373297
-27.374870  -27.406120  -27.374870  |  0.373297  0.373365  0.373297
-27.374870  -27.374870  -27.374870  |  0.373297  0.373297  0.373292
-27.374870  -27.374870  -27.390495  |  0.373292  0.373317  0.373294
-27.374870  -27.374870  -27.374870  |  0.373292  0.373292  0.373291
-27.374870  -27.374870  -27.367057  |  0.373291  0.373297  0.373291
-27.374870  -27.374870  -27.374870  |  0.373291  0.373291  0.373291
-27.374870  -27.374870  -27.378776  |  0.373291  0.373292  0.373291
-27.374870  -27.374870  -27.374870  |  0.373291  0.373291  0.373291
-27.374870  -27.374870  -27.372917  |  0.373291  0.373291  0.373291
-27.372917  -27.370964  -27.372917  |  0.373291  0.373291  0.373291
-27.372917  -27.372917  -27.372917  |  0.373291  0.373291  0.373291
-27.372917  -27.372917  -27.371940  |  0.373291  0.373291  0.373291
-27.372917  -27.372917  -27.372917  |  0.373291  0.373291  0.373291
-27.372917  -27.372917  -27.373405  |  0.373291  0.373291  0.373291
-27.373405  -27.373893  -27.373405  |  0.373291  0.373291  0.373291
-27.373405  -27.373405  -27.373405  |  0.373291  0.373291  0.373291
-27.373405  -27.373405  -27.373649  |  0.373291  0.373291  0.373291
-27.373649  -27.373893  -27.373649  |  0.373291  0.373291  0.373291
-27.373649  -27.373649  -27.373649  |  0.373291  0.373291  0.373291
-27.373649  -27.373649  -27.373771  |  0.373291  0.373291  0.373291
-27.373649  -27.373649  -27.373649  |  0.373291  0.373291  0.373291
-27.373649  -27.373649  -27.373588  |  0.373291  0.373291  0.373291
-27.373588  -27.373527  -27.373588  |  0.373291  0.373291  0.373291
-27.373588  -27.373588  -27.373588  |  0.373291  0.373291  0.373291
-27.373588  -27.373588  -27.373558  |  0.373291  0.373291  0.373291
-27.373588  -27.373588  -27.373588  |  0.373291  0.373291  0.373291
-27.373588  -27.373588  -27.373603  |  0.373291  0.373291  0.373291
-27.373588  -27.373588  -27.373588  |  0.373291  0.373291  0.373291
-27.373588  -27.373588  -27.373581  |  0.373291  0.373291  0.373291
-27.373581  -27.373573  -27.373581  |  0.373291  0.373291  0.373291
-27.373581  -27.373581  -27.373581  |  0.373291  0.373291  0.373291
-27.373581  -27.373581  -27.373577  |  0.373291  0.373291  0.373291
-27.373581  -27.373581  -27.373581  |  0.373291  0.373291  0.373291
-27.373581  -27.373581  -27.373582  |  0.373291  0.373291  0.373291
-27.373582  -27.373584  -27.373582  |  0.373291  0.373291  0.373291
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-31.493638  -31.493638  -31.493638  |  0.400746  0.400746  0.396710
-31.493638  -31.493638  -30.993638  |  0.396710  0.410135  0.396299
-30.993638  -30.493638  -30.493638  |  0.396299  0.396501  0.396501
-30.993638  -30.993638  -30.993638  |  0.396299  0.396299  0.396299
-30.993638  -30.993638  -30.993638  |  0.396299  0.396299  0.396218
-30.993638  -30.993638  -31.118638  |  0.396218  0.397394  0.396187
-31.118638  -31.243638  -31.243638  |  0.396187  0.396146  0.396146
-31.243638  -31.368638  -31.368638  |  0.396146  0.396109  0.396109
-31.368638  -31.493638  -31.493638  |  0.396109  0.396100  0.396100
-31.493638  -31.618638  -31.618638  |  0.396100  0.396146  0.396146
-31.493638  -31.493638  -31.493638  |  0.396100  0.396100  0.396100
-31.493638  -31.493638  -31.493638  |  0.396100  0.396100  0.396100
-31.493638  -31.493638  -31.493638  |  0.396100  0.396100  0.396100
-31.493638  -31.493638  -31.493638  |  0.396100  0.396100  0.396098
-31.493638  -31.493638  -31.501450  |  0.396098  0.396101  0.396098
-31.501450  -31.509263  -31.509263  |  0.396098  0.396098  0.396098
-31.501450  -31.501450  -31.501450  |  0.396098  0.396098  0.396098
-31.501450  -31.501450  -31.501450  |  0.396098  0.396098  0.396098
-31.501450  -31.501450  -31.501450  |  0.396098  0.396098  0.396098
-31.501450  -31.501450  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.503403  -31.503403  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502427  |  0.396098  0.396098  0.396098
-31.502427  -31.502427  -31.502411  |  0.396098  0.396098  0.396098
-31.502411  -31.502396  -31.502396  |  0.396098  0.396098  0.396098
-31.502411  -31.502411  -31.502411  |  0.396098  0.396098  0.396098
-31.502411  -31.502411  -31.502411  |  0.396098  0.396098  0.396098
-31.502411  -31.502411  -31.502411  |  0.396098  0.396098  0.396098
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-25.689713  -25.689713  -25.189713  |  0.361167  0.361167  0.345507
-25.189713  -24.689713  -24.689713  |  0.345507  0.359053  0.345799
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345507
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345507
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345507
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345507
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345507
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345507
-25.189713  -25.189713  -25.189713  |  0.345507  0.345507  0.345506
-25.189713  -25.189713  -25.193619  |  0.345506  0.345508  0.345507
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.187760  |  0.345506  0.345507  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.190201  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189652  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189728  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189709  |  0.345506  0.345506  0.345506
-25.189713  -25.189713  -25.189713  |  0.345506  0.345506  0.345506
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-36.904168  -36.904168  -37.404168  |  0.494934  0.494934  0.459783
-37.404168  -37.904168  -37.404168  |  0.459783  0.492465  0.459783
-37.404168  -37.404168  -37.404168  |  0.459783  0.459783  0.459783
-37.404168  -37.404168  -37.404168  |  0.459783  0.459783  0.459783
-37.404168  -37.404168  -37.404168  |  0.459783  0.459783  0.459783
-37.404168  -37.404168  -37.404168  |  0.459783  0.459783  0.459783
-37.404168  -37.404168  -37.404168  |  0.459783  0.459783  0.459783
-37.404168  -37.404168  -37.411980  |  0.459783  0.459783  0.459781
-37.411980  -37.419793  -37.411980  |  0.459781  0.459785  0.459781
-37.411980  -37.411980  -37.411980  |  0.459781  0.459781  0.459781
-37.411980  -37.411980  -37.415886  |  0.459781  0.459782  0.459781
-37.415886  -37.419793  -37.419793  |  0.459781  0.459781  0.459781
-37.419793  -37.423699  -37.423699  |  0.459781  0.459781  0.459781
-37.423699  -37.427605  -37.427605  |  0.459781  0.459781  0.459781
-37.427605  -37.431511  -37.431511  |  0.459781  0.459781  0.459781
-37.427605  -37.427605  -37.427605  |  0.459781  0.459781  0.459781
-37.427605  -37.427605  -37.427605  |  0.459781  0.459781  0.459781
-37.427605  -37.427605  -37.427605  |  0.459781  0.459781  0.459781
-37.427605  -37.427605  -37.427605  |  0.459781  0.459781  0.459781
-37.427605  -37.427605  -37.427361  |  0.459781  0.459781  0.459781
-37.427361  -37.427117  -37.427117  |  0.459781  0.459781  0.459781
-37.427117  -37.426873  -37.426873  |  0.459781  0.459781  0.459781
-37.426873  -37.426629  -37.426629  |  0.459781  0.459781  0.459781
-37.426629  -37.426384  -37.426384  |  0.459781  0.459781  0.459781
-37.426629  -37.426629  -37.426629  |  0.459781  0.459781  0.459781
-37.426629  -37.426629  -37.426629  |  0.459781  0.459781  0.459781
-37.426629  -37.426629  -37.426629  |  0.459781  0.459781  0.459781
-37.426629  -37.426629  -37.426629  |  0.459781  0.459781  0.459781
-37.426629  -37.426629  -37.426629  |  0.459781  0.459781  0.459781
-37.426629  -37.426629  -37.426632  |  0.459781  0.459781  0.459781
-37.426632  -37.426636  -37.426632  |  0.459781  0.459781  0.459781
-37.426632  -37.426632  -37.426630  |  0.459781  0.459781  0.459781
-37.426630  -37.426629  -37.426630  |  0.459781  0.459781  0.459781
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-39.760595  -39.760595  -40.260595  |  0.496731  0.496731  0.471620
-40.260595  -40.760595  -40.260595  |  0.471620  0.494506  0.471620
-40.260595  -40.260595  -40.260595  |  0.471620  0.471620  0.471620
-40.260595  -40.260595  -40.260595  |  0.471620  0.471620  0.471620
-40.260595  -40.260595  -40.260595  |  0.471620  0.471620  0.471620
-40.260595  -40.260595  -40.260595  |  0.471620  0.471620  0.471620
-40.260595  -40.260595  -40.276220  |  0.471620  0.471620  0.471615
-40.276220  -40.291845  -40.276220  |  0.471615  0.471624  0.471615
-40.276220  -40.276220  -40.276220  |  0.471615  0.471615  0.471615
-40.276220  -40.276220  -40.272314  |  0.471615  0.471615  0.471615
-40.272314  -40.268408  -40.272314  |  0.471615  0.471615  0.471615
-40.272314  -40.272314  -40.274267  |  0.471615  0.471615  0.471615
-40.274267  -40.276220  -40.274267  |  0.471615  0.471615  0.471615
-40.274267  -40.274267  -40.273291  |  0.471615  0.471615  0.471615
-40.273291  -40.272314  -40.273291  |  0.471615  0.471615  0.471615
-40.273291  -40.273291  -40.273779  |  0.471615  0.471615  0.471615
-40.273779  -40.274267  -40.273779  |  0.471615  0.471615  0.471615
-40.273779  -40.273779  -40.273779  |  0.471615  0.471615  0.471615
-40.273779  -40.273779  -40.273779  |  0.471615  0.471615  0.471615
-40.273779  -40.273779  -40.273718  |  0.471615  0.471615  0.471615
-40.273718  -40.273657  -40.273718  |  0.471615  0.471615  0.471615
-40.273718  -40.273718  -40.273718  |  0.471615  0.471615  0.471615
-40.273718  -40.273718  -40.273718  |  0.471615  0.471615  0.471615
-40.273718  -40.273718  -40.273726  |  0.471615  0.471615  0.471615
-40.273726  -40.273733  -40.273726  |  0.471615  0.471615  0.471615
-40.273726  -40.273726  -40.273722  |  0.471615  0.471615  0.471615
-40.273722  -40.273718  -40.273722  |  0.471615  0.471615  0.471615
-40.273722  -40.273722  -40.273724  |  0.471615  0.471615  0.471615
-40.273724  -40.273726  -40.273724  |  0.471615  0.471615  0.471615
      xB        xP        xN  |     f(xB)     f(xP)     f(xN)
1.806240  1.806240  2.306240  |  0.307853  0.307853  0.184677
2.306240  2.806240  2.306240  |  0.184677  0.423367  0.184677
2.306240  2.306240  2.056240  |  0.184677  0.184677  0.181007
2.056240  1.806240  1.556240  |  0.181007  0.179020  0.178268
1.556240  1.056240  1.306240  |  0.178268  0.178932  0.178355
1.556240  1.556240  1.431240  |  0.178268  0.178268  0.178230
1.431240  1.306240  1.431240  |  0.178230  0.178355  0.178230
1.431240  1.431240  1.493740  |  0.178230  0.178230  0.178226
1.493740  1.556240  1.493740  |  0.178226  0.178268  0.178226
1.493740  1.493740  1.462490  |  0.178226  0.178226  0.178222
1.462490  1.431240  1.462490  |  0.178222  0.178230  0.178222
1.462490  1.462490  1.462490  |  0.178222  0.178222  0.178222
1.462490  1.462490  1.470303  |  0.178222  0.178222  0.178222
1.470303  1.478115  1.470303  |  0.178222  0.178223  0.178222
1.470303  1.470303  1.470303  |  0.178222  0.178222  0.178222
1.470303  1.470303  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.466397  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468350  |  0.178222  0.178222  0.178222
1.468350  1.468350  1.468365  |  0.178222  0.178222  0.178222
1.468365  1.468380  1.468365  |  0.178222  0.178222  0.178222
1.468365  1.468365  1.468357  |  0.178222  0.178222  0.178222
1.468357  1.468350  1.468357  |  0.178222  0.178222  0.178222
1.468357  1.468357  1.468361  |  0.178222  0.178222  0.178222
1.468361  1.468365  1.468361  |  0.178222  0.178222  0.178222
1.468361  1.468361  1.468359  |  0.178222  0.178222  0.178222
1.468359  1.468357  1.468359  |  0.178222  0.178222  0.178222
        xB          xP          xN  |     f(xB)     f(xP)     f(xN)
-30.851519  -30.851519  -30.351519  |  0.509277  0.509277  0.401870
-30.351519  -29.851519  -30.351519  |  0.401870  0.446958  0.397173
-30.351519  -30.351519  -30.851519  |  0.397173  0.415218  0.397691
-30.351519  -30.351519  -30.351519  |  0.397173  0.397173  0.396563
-30.351519  -30.351519  -30.101519  |  0.396563  0.401870  0.396628
-30.351519  -30.351519  -30.351519  |  0.396563  0.396563  0.396130
-30.351519  -30.351519  -30.476519  |  0.396130  0.397173  0.396186
-30.351519  -30.351519  -30.351519  |  0.396130  0.396130  0.396130
-30.351519  -30.351519  -30.351519  |  0.396130  0.396130  0.396099
-30.351519  -30.351519  -30.320269  |  0.396099  0.396161  0.396103
-30.351519  -30.351519  -30.351519  |  0.396099  0.396099  0.396099
-30.351519  -30.351519  -30.351519  |  0.396099  0.396099  0.396098
-30.351519  -30.351519  -30.359332  |  0.396098  0.396103  0.396099
-30.351519  -30.351519  -30.351519  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.347613  |  0.396098  0.396099  0.396098
-30.351519  -30.351519  -30.351519  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.353472  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.351519  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.350543  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.351519  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.352008  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.351519  |  0.396098  0.396098  0.396098
-30.351519  -30.351519  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351031  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351153  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351306  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351268  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351275  |  0.396098  0.396098  0.396098
-30.351275  -30.351275  -30.351277  |  0.396098  0.396098  0.396098
       xB         xP         xN  |     f(xB)     f(xP)     f(xN)
-3.773930  -3.773930  -3.273930  |  0.978489  0.978489  0.573239
-3.273930  -2.773930  -2.773930  |  0.573239  0.037768  0.015042
-2.773930  -2.273930  -2.773930  |  0.015042  0.561339  0.070209
-2.773930  -2.773930  -2.773930  |  0.015042  0.015042  0.011337
-2.773930  -2.773930  -2.523930  |  0.011337  0.037768  0.011032
-2.523930  -2.273930  -2.273930  |  0.011032  0.015201  0.015201
-2.523930  -2.523930  -2.523930  |  0.011032  0.011032  0.011032
-2.523930  -2.523930  -2.586430  |  0.011032  0.011032  0.009921
-2.586430  -2.648930  -2.586430  |  0.009921  0.013972  0.009921
-2.586430  -2.586430  -2.555180  |  0.009921  0.009921  0.009764
-2.555180  -2.523930  -2.523930  |  0.009764  0.009716  0.009716
-2.523930  -2.492680  -2.492680  |  0.009716  0.009753  0.009753
-2.523930  -2.523930  -2.523930  |  0.009716  0.009716  0.009716
-2.523930  -2.523930  -2.523930  |  0.009716  0.009716  0.009716
-2.523930  -2.523930  -2.523930  |  0.009716  0.009716  0.009716
-2.523930  -2.523930  -2.523930  |  0.009716  0.009716  0.009716
-2.523930  -2.523930  -2.523930  |  0.009716  0.009716  0.009716
-2.523930  -2.523930  -2.523930  |  0.009716  0.009716  0.009716
-2.523930  -2.523930  -2.523686  |  0.009716  0.009716  0.009716
-2.523686  -2.523442  -2.523442  |  0.009716  0.009716  0.009716
-2.523442  -2.523198  -2.523198  |  0.009716  0.009716  0.009716
-2.523442  -2.523442  -2.523442  |  0.009716  0.009716  0.009716
-2.523442  -2.523442  -2.523442  |  0.009716  0.009716  0.009716
-2.523442  -2.523442  -2.523503  |  0.009716  0.009716  0.009716
-2.523503  -2.523564  -2.523564  |  0.009716  0.009716  0.009716
-2.523503  -2.523503  -2.523503  |  0.009716  0.009716  0.009716
-2.523503  -2.523503  -2.523503  |  0.009716  0.009716  0.009716
